19/08/0837	Julbān al-Hindī 260	unknown	becomes parent	al-ʿAzīz Yūsuf b. al-ʾAshraf Barsbāy 8
19/08/0837	al-ʾAshraf Barsbāy 24	sulṭān	becomes parent	al-ʿAzīz Yūsuf b. al-ʾAshraf Barsbāy 8
11/02/0855	al-Manṣūr ʿUthmān b. Jaqmaq 819	unknown	is ustādh	Ibn ʾIṣbahān b. Qarā Yūsuf 3051
31/12/0750	unknown 0	unknown	becomes parent	Jamāl al-Dīn b. Ẓuhayra 2363
22/01/0838	Tāj al-Dīn Tāj al-Shuwaykī 116	wālī (al-Qāhira/Cairo)	is intimate with	al-ʾAshraf Barsbāy 24
08/06/0855	al-Ẓāhir Jaqmaq 2	sulṭān	marries	Fāṭima bt. Zayn al-Dīn ʿAbd al-Bāsiṭ b. Khalīl 3085
24/01/0856	ʾUzbak min Ṭuṭukh al-Sāqī 876	unknown	becomes parent	Muḥammad 3238
24/01/0856	Khadīja bt al-Ẓāhir Jaqmaq 2320	unknown	becomes parent	Muḥammad 3238
13/07/0868	al-Ẓāhir Khushqadam al-Nāṣirī al-Muʾayyadī 861	sulṭān	becomes parent	walad dhakar al-Ẓāhir Khushqadam 3287
13/07/0868	sarārī a-Ẓāhir Khushqadam 3286	unknown	becomes parent	walad dhakar al-Ẓāhir Khushqadam 3287
18/06/0870	al-Ẓāhir Khushqadam al-Nāṣirī al-Muʾayyadī 861	sulṭān	marries	Savārbāy al-Jarkasīya 3357
22/10/0843	al-Ẓāhir Jaqmaq 2	sulṭān	marries	Zaynab bt. Jarbāsh Qāshiq 555
03/11/0819	Bashbughā 3435	unknown	is ustādh	Taghrī Birdī al-Bashbughāwī  1889
03/11/0819	Bashbughā 3435	unknown	is ustādh	ʾArghūn min Bashbughā 299
01/08/0815	al-Muʾayyad Shaykh 12	ʾamīr (general)	is ustādh	ʾAqbāy al-Khāzindār al-Muʾayyadī 301
01/08/0815	al-Muʾayyad Shaykh 12	sulṭān	is ustādh	ʾAqbāy al-Khāzindār al-Muʾayyadī 301
01/08/0815	al-Muʾayyad Shaykh 12	ʾamīr (general)	is ustādh	ʾĀqbirdī al-Muʾayyadī al-Minqār* 426
01/09/0868	Lisān al-Dīn 2909	unknown	rallies relative(s)	ʾAbū Lisān al-Dīn 3311
31/10/0784	ʿAbd al-Razzāq b. ʾAbi l-Faraj 2147	wālī (Qaṭyā - Wajh Baḥrī)	becomes parent	Fakhr al-Dīn b. ʾAbi l-Faraj 214
29/08/0824	ʾĪnāl al-Jakamī 126	unknown	marries	Quṭlubāy 1074
01/01/0820	ʾĪnāl Ḍaḍaʿ 3472	unknown	is ustādh	al-Ẓāhir Yalbāy al-ʾĪnālī al-Muʾayyadī 1090
01/01/0820	ʾĪnāl Ḍaḍaʿ 3472	unknown	is ustādh	unknown 0
01/01/0820	al-Muʾayyad Shaykh 12	sulṭān	is ustādh	al-Ẓāhir Yalbāy al-ʾĪnālī al-Muʾayyadī 1090
01/01/0824	al-Muʾayyad Shaykh 12	sulṭān	is ustādh	al-Ẓāhir Yalbāy al-ʾĪnālī al-Muʾayyadī 1090
04/02/0840	al-Ẓāhir Barqūq 4	unknown	is ustādh	Qirmish al-ʾAʿwar 1254
05/03/0840	al-ʿAzīz Yūsuf b. al-ʾAshraf Barsbāy 8	unknown	is intimate with	Sulaymān b. ʾArkhun Bak 3510
16/04/0872	Birdibak al-Ẓāhirī al-Bajmaqdār 1091	unknown	is khushdāsh	Timur min Maḥmūd Shāh al-Ẓāhirī 3373
31/12/0769	unknown 0	unknown	becomes parent	Faḍl ʾAllāh b. Makānis 2496
01/06/0840	Muḥammad b. Qāsim 132	unknown	is intimate with	al-ʾAshraf Barsbāy 24
21/07/0840	Nawrūz al-Ḥāfiẓī 35	unknown	is ustādh	ʾArghūn Shāh al-ʾAʿwar 390
12/08/0823	al-Muʾayyad Shaykh 12	sulṭān	is related through marriage with	ʾAlṭunbughā al-Qirmishī 221
12/08/0823	ʾAlṭunbughā al-Qirmishī 221	ʾamīr kabīr (al-Qāhira/Cairo)	marries	unknown 0
22/12/0840	al-ʾAshraf Barsbāy 24	sulṭān	is intimate with	Ṣalāḥ al-Dīn b. Naṣr Allāh 522
04/10/0769	unknown 0	unknown	becomes parent	Nāṣir al-Dīn b. al-Bārizī 71
22/12/0840	al-ʾAshraf Barsbāy 24	sulṭān	is intimate with	Ṣalāḥ al-Dīn b. Naṣr Allāh 522
01/01/0800	al-Muʾayyad Shaykh 12	unknown	becomes parent	ʾIbrāhīm b. al-Muʾayyad Shaykh 217
01/01/0800	ʾumm ʾIbrāhīm b. Shaykh 2260	unknown	becomes parent	ʾIbrāhīm b. al-Muʾayyad Shaykh 217
10/04/0824	Khawand Zaynab 3597	unknown	marries	al-Muʾayyad Shaykh 12
16/05/0824	al-Ẓāhir Ṭaṭar 441	ʾamīr kabīr (al-Qāhira/Cairo)	marries	Saʿādāt 1365
28/08/0824	al-Muʾayyad Shaykh 12	sulṭān	is intimate with	ʾĪnāl al-ʾAzʿarī al-ʾArghizī 425
28/08/0824	al-Muʾayyad Shaykh 12	unknown	is intimate with	Sūdūn al-Lakkāshī 1670
28/08/0824	al-Muʾayyad Shaykh 12	unknown	is khushdāsh	ʾUzdamur al-Nāṣirī al-Ẓāhirī 1590
28/08/0824	al-Muʾayyad Shaykh 12	unknown	is ustādh	ʾUzdamur al-Nāṣirī al-Ẓāhirī 1590
29/08/0824	al-Ẓāhir Ṭaṭar 441	sulṭān	marries	Saʿādāt 1365
31/12/0801	Qānī Bāy al-ʿAlāʾī 2261	unknown	rallies relative(s)	al-Ẓāhir Ṭaṭar 441
31/12/0801	al-Ẓāhir Barqūq 4	sulṭān	is ustādh	al-Ẓāhir Ṭaṭar 441
07/05/0872	Timurbughā al-Ẓāhirī 754	sulṭān	is ustādh	al-Manṣūr ʿUthmān b. Jaqmaq 819
01/01/0824	unknown 0	unknown	is ustādh	Timurbughā al-Ẓāhirī 754
29/07/0837	Shāhīn al-Zardkāsh 310	nāʾib (Ṭarābulus/Tripoli)	is ustādh	Timurbughā al-Ẓāhirī 754
29/07/0837	unknown 0	unknown	is ustādh	Timurbughā al-Ẓāhirī 754
29/07/0837	al-Ẓāhir Jaqmaq 2	ʾamīr ʾākhūr kabīr (sulṭān)	is ustādh	Timurbughā al-Ẓāhirī 754
01/01/0842	al-Ẓāhir Jaqmaq 2	unknown	is ustādh	Timurbughā al-Ẓāhirī 754
01/01/0842	al-Ẓāhir Jaqmaq 2	unknown	is ustādh	Timurbughā al-Ẓāhirī 754
01/01/0846	al-Ẓāhir Jaqmaq 2	sulṭān	is intimate with	Timurbughā al-Ẓāhirī 754
01/01/0846	al-Ẓāhir Jaqmaq 2	sulṭān	is intimate with	Timurbughā al-Ẓāhirī 754
01/01/0863	Yūsuf b. Taghrī Birdī 924	unknown	is intimate with	Timurbughā al-Ẓāhirī 754
01/06/0872	Timurbughā al-Ẓāhirī 754	sulṭān	rallies relative(s)	Kasbāy al-Ẓāhirī 3608
08/07/0872	Timurbughā al-Ẓāhirī 754	unknown	is khushdāsh	al-ʾAshraf Qāytbāy  1262
09/01/0824	al-Muʾayyad Shaykh 12	unknown	is ustādh	Sūdūn al-ʾAbūbakrī al-Muʾayyadī 2509
30/11/0820	ʾAqbāy al-Khāzindār al-Muʾayyadī 301	nāʾib (Dimashq/Damascus)	is ustādh	Yūnus al-ʾĀqbāy  862
21/04/0817	Nawrūz al-Ḥāfiẓī 35	nāʾib (Dimashq/Damascus)	is ustādh	Fayrūz al-Nawrūzī 708
10/11/0850	Yashbak al-Jakamī 3222	ʾamīr ʾākhūr kabīr (sulṭān)	is ustādh	Jānibak al-Yashbakī 844
01/01/0836	Muḥammad b. Kalbak 1045	unknown	is ustādh	ʾAsanbughā al-Ṭayyārī 73
01/01/0836	Sūdūn al-Ṭayyār 3674	unknown	is ustādh	ʾAsanbughā al-Ṭayyārī 73
15/10/0801	Kazlak 3677	unknown	is ustādh	al-Ẓāhir Jaqmaq 2
15/10/0801	ʿAlī b. ʾĪnāl al-Yūsufī 5	unknown	is ustādh	al-Ẓāhir Jaqmaq 2
15/10/0801	ʿAlī b. ʾĪnāl al-Yūsufī 5	unknown	is ustādh	al-Ẓāhir Jaqmaq 2
15/10/0801	Jārkas al-Qāsimī al-Muṣāriʿ 593	khāṣṣakīya (sulṭān)	becomes brother	al-Ẓāhir Jaqmaq 2
15/10/0801	al-Ẓāhir Barqūq 4	sulṭān	is ustādh	al-Ẓāhir Jaqmaq 2
15/10/0801	al-Ẓāhir Barqūq 4	sulṭān	is intimate with	al-Ẓāhir Jaqmaq 2
01/01/0842	Jānibak al-Yashbakī 844	khāṣṣakīya (sulṭān)	is intimate with	Jamāl al-Dīn b. Kātib Jakam 571
01/01/0808	al-Nāṣir Faraj b. Barqūq 14	sulṭān	is ustādh	ʾUrunbughā al-Nāṣirī 539
27/02/0820	ʾĀqbirdī al-Muʾayyadī al-Minqār* 426	nāʾib (al-ʾIskandarīya/Alexandria)	is ustādh	Dawlāt Bāy al-Muʾayyadī 273
09/01/0824	al-Muʾayyad Shaykh 12	sulṭān	is ustādh	Dawlāt Bāy al-Muʾayyadī 273
09/01/0824	al-Muʾayyad Shaykh 12	sulṭān	is ustādh	Dawlāt Bāy al-Muʾayyadī 273
09/01/0824	ʾĀqbirdī al-Muʾayyadī al-Minqār* 426	nāʾib (al-ʾIskandarīya/Alexandria)	is ustādh	Dawlāt Bāy al-Muʾayyadī 273
08/04/0825	Dawlāt Bāy al-Muʾayyadī 273	khāṣṣakīya (sulṭān)	is intimate with	Jānim al-ʾAshrafī  26
08/04/0825	Dawlāt Bāy al-Muʾayyadī 273	khāṣṣakīya (sulṭān)	marries	ʾukht Jānim al-ʾAshrafī  3684
08/04/0825	Jānim al-ʾAshrafī  26	ʾamīr (general)	rallies relative(s)	Dawlāt Bāy al-Muʾayyadī 273
21/04/0817	Nawrūz al-Ḥāfiẓī 35	nāʾib (Dimashq/Damascus)	is ustādh	Qānṣūh al-Nawrūzī 344
01/01/0808	al-Muʾayyad Shaykh 12	ʾamīr (general)	is ustādh	Bayghūt  al-Muʾayyadī al-ʾAʿraj 665
09/01/0824	al-Muʾayyad Shaykh 12	unknown	is ustādh	ʿAlī Bāy al-Muʾayyadī 1023
	Jārkas al-Qāsimī al-Muṣāriʿ 593	unknown	is ustādh	Yalbughā al-Jārkasī 521
30/05/0852	al-Ẓāhir Jaqmaq 2	sulṭān	rallies relative(s)	Yalbughā al-Jārkasī 521
01/01/0840	ʿAbd al-Bāsiṭ al-Dimashqī 80	unknown	is ustādh	Jānibak al-Zaynī ʿAbd al-Bāsiṭ 381
28/12/0842	ʿAbd al-Bāsiṭ al-Dimashqī 80	unknown	is ustādh	Jānibak al-Zaynī ʿAbd al-Bāsiṭ 381
