Taghrī Birmish al-Turkmānī 110	ʾamīr 100 (al-Qāhira/Cairo)
Taghrī Birmish al-Turkmānī 110	ʾamīr 010 (al-Qāhira/Cairo)
Taghrī Birmish al-Turkmānī 110	ʾamīr 040 (al-Qāhira/Cairo)
Taghrī Birmish al-Turkmānī 110	ʾamīr 100 (al-Qāhira/Cairo)
Taghrī Birmish al-Turkmānī 110	ʾamīr 040 (al-Qāhira/Cairo)
Taghrī Birmish al-Turkmānī 110	ʾamīr 100 (al-Qāhira/Cairo)
Ṣakhra 112	ʾamīr (Yanbuʿ)
ʿAqīl b. Wabīr 113	ʾamīr (Yanbuʿ)
ʾĪnāl al-Ṣaṣlānī 115	ʾamīr (general)
ʾĪnāl al-Ṣaṣlānī 115	ʾamīr 100 (al-Qāhira/Cairo)
Tāj al-Dīn Tāj al-Shuwaykī 116	ʾamīr (general)
ʾAlṭunbughā al-ʿUthmānī 117	ʾatābak ʿasākir (al-Qāhira/Cairo)
ʾAlṭunbughā al-ʿUthmānī 117	ʾamīr kabīr (al-Qāhira/Cairo)
ʾAlṭunbughā al-ʿUthmānī 117	baṭṭāl
ʾAlṭunbughā al-ʿUthmānī 117	ʾamīr 040 (al-Qāhira/Cairo)
ʾAlṭunbughā al-ʿUthmānī 117	khāṣṣakīya (sulṭān)
ʾAlṭunbughā al-ʿUthmānī 117	ʾamīr 100 (al-Qāhira/Cairo)
Zayn al-Dīn Yaḥyā al-ʾAshqar 118	baṭṭāl
Muḥammad al-Ṣaghīr 120	muʿallim nashshāb (al-Qāhira/Cairo)
ʾĪnāl al-Jakamī 126	baṭṭāl
ʾĪnāl al-Jakamī 126	ʾamīr 100 (al-Qāhira/Cairo)
ʾĪnāl al-Jakamī 126	ʾamīr kabīr (al-Qāhira/Cairo)
ʾĪnāl al-Jakamī 126	ʾamīr 040 (al-Qāhira/Cairo)
ʾĪnāl al-Jakamī 126	ʾatābak ʿasākir (al-Qāhira/Cairo)
ʾĪnāl al-Jakamī 126	ʾamīr 010 (al-Qāhira/Cairo)
ʾĪnāl al-Jakamī 126	muqaddam ʿaskar
ʾĪnāl al-Jakamī 126	khāṣṣakīya (sulṭān)
Sūdūn al-Muḥammadī ʾAtmakjī 129	ʾamīr 010 (al-Qāhira/Cairo)
Fāris al-Maḥmūdī 136	ʾamīr 040 (al-Qāhira/Cairo)
Ṭūkh Māzī 137	ʾamīr 100 (Dimashq/Damascus)
Ṭūkh Māzī 137	ʾatābak ʿasākir (Ghazza/Gaza)
Ṭūkh Māzī 137	ʾamīr 040 (al-Qāhira/Cairo)
Ṭūkh Māzī 137	ʾamīr 010 (al-Qāhira/Cairo)
Ṭūkh Māzī 137	ʾamīr rakb ʾawwal (al-Qāhira/Cairo)
Ṭūkh Māzī 137	muqaddam mamālīk sulṭānīya (al-Qāhira/Cairo)
ʾAqbughā min Māmish al-Nāṣirī 139	ʾamīr 040 (al-Qāhira/Cairo)
ʾAqbughā min Māmish al-Nāṣirī 139	ʾamīr (general)
ʾAqbughā min Māmish al-Nāṣirī 139	khāṣṣakīya (sulṭān)
ʾAqbughā min Māmish al-Nāṣirī 139	ʾamīr 010 (al-Qāhira/Cairo)
Qaṣrūh min Timrāz al-Ẓāhirī 145	ʾamīr 010 (al-Qāhira/Cairo)
