Source	Label	Target
al-Muʾayyad Shaykh 12	ustādh of	ʾĪnāl al-Muʾayyadī ʾAkhū Qashtam 511
al-Muʾayyad Shaykh 12	ustādh of	Taghrī Birdī al-Muʾayyadī 930
al-Muʾayyad Shaykh 12	ustādh of	Taghrī Birmish al-Jalālī 716
al-Muʾayyad Shaykh 12	ustādh of	Timurbāy al-Yūsufī 2315
al-Muʾayyad Shaykh 12	ustādh of	Timrāz al-Muʾayyadī al-Khāzindār 3030
al-Muʾayyad Shaykh 12	ustādh of	Tanam al-ʿAlāʾī 349
al-Muʾayyad Shaykh 12	ustādh of	Jānim al-Muʾayyadī 4112
al-Muʾayyad Shaykh 12	ustādh of	Tanam al-Sāqī al-Muʾayyadī 4198
al-Muʾayyad Shaykh 12	ustādh of	Jānibak al-Muʾayyadī al-Bajmaqdār 1525
al-Muʾayyad Shaykh 12	ustādh of	Ṭūkh al-ʾAbū Bakrī al-Muʾayyadī 1413
al-Muʾayyad Shaykh 12	ustādh of	Sūdūn al-Muḥammadī ʾAtmakjī 129
al-Muʾayyad Shaykh 12	ustādh of	Sūdūn Qarāqāsh al-ʾĪnālī 232
al-Muʾayyad Shaykh 12	ustādh of	ʿAlī Bāy al-Muʾayyadī al-Dawādār 1648
al-Muʾayyad Shaykh 12	ustādh of	Qānī Bāy al-Muʾayyadī  3189
al-Muʾayyad Shaykh 12	ustādh of	Qāni Bāy al-Muʾayyadī Qarā Saqal 1497
al-Muʾayyad Shaykh 12	ustādh of	Qujqār Jaghtāy al-Zardkāsh 1619
al-Muʾayyad Shaykh 12	ustādh of	Qashtam al-Muʾayyadī 512
al-Muʾayyad Shaykh 12	ustādh of	Sayf al-Dīn Yakhshī Bāy 354
al-Muʾayyad Shaykh 12	ustādh of	Yashbak al-Yūsufī al-Muʾayyadī 249
al-Muʾayyad Shaykh 12	mamlūk (ustādh) of	Maḥmūd Shāh al-Yazīdī 13
al-Muʾayyad Shaykh 12	mamlūk (ustādh) of	Taghrī Birmish al-Jalālī 716
al-Muʾayyad Shaykh 12	mamlūk (ustādh) of	al-Ẓāhir Barqūq 4
al-Muʾayyad Shaykh 12	makhdūm of	Ṭūghān al-Ḥasanī 40
al-Muʾayyad Shaykh 12	makhdūm of	Qurqmās al-Shaʿbānī 11
al-Muʾayyad Shaykh 12	makhdūm of	ʾĪnāl al-Jakamī 126
al-Muʾayyad Shaykh 12	makhdūm of	ʾUzbak al-Sayfī Qānī Bāy Juḥā 3850
al-Muʾayyad Shaykh 12	makhdūm of	ʾAqbāy al-Khāzindār al-Muʾayyadī 301
al-Muʾayyad Shaykh 12	makhdūm of	ʾĀqbirdī al-Muʾayyadī al-Minqār* 426
al-Muʾayyad Shaykh 12	makhdūm of	ʾAlṭunbughā al-Marqabī  97
al-Muʾayyad Shaykh 12	makhdūm of	ʾĪnāl al-Nawrūzī 1031
al-Muʾayyad Shaykh 12	makhdūm of	ʾĪnāl al-ʾAzʿarī al-ʾArghizī 425
al-Muʾayyad Shaykh 12	makhdūm of	Tāj al-Dīn Tāj al-Shawīkī 116
al-Muʾayyad Shaykh 12	makhdūm of	Jaqmaq al-ʾArghūn Shāwī 34
al-Muʾayyad Shaykh 12	makhdūm of	Julbān al-Muʾayyadī ʾAmīr ʾĀkhūr 179
al-Muʾayyad Shaykh 12	makhdūm of	Jawhar al-Timrāzī al-Ḥabashī 3793
al-Muʾayyad Shaykh 12	makhdūm of	Ḥasan b. Muḥibb al-Dīn 70
al-Muʾayyad Shaykh 12	makhdūm of	Zayn al-Dīn Khushqadam al-Yashbakī 2601
al-Muʾayyad Shaykh 12	makhdūm of	Dāwud b. al-Kuwayz 203
al-Muʾayyad Shaykh 12	makhdūm of	Ṭūghān al-ʾAmīr ʾĀkhūr 107
al-Muʾayyad Shaykh 12	makhdūm of	ʿAbd al-Bāsiṭ al-Dimashqī 80
