source	target	weight	type
Manjak al-Yūsufī al-Nāṣirī 2263	bint Manjak al-Yūsufī 4492	20	parent of
Sirāj al-Dīn ʿAbd al-Laṭīf 2270	Muḥyī al-Dīn al-Fāsī 4257	15	sibling of
Banū ʿAjlān 2273	Barakāt b. ʿAjlān 293	15	sibling of
ʿUmar ibn Qilīj 2276	ʾAḥmad ibn ʿUmar ibn Qilīj al-Turkī 1700	20	parent of
Quṭluqtamur al-ʿAlāʾī 2293	ʾIbrāhīm b. Quṭluqtamur al-ʿAlāʾī 1702	20	parent of
al-Mutawakkil ʿalā Allāh 2294	al-Qāʾim bi-ʾAmr Allāh Ḥamza 3031	20	parent of
al-Mutawakkil ʿalā Allāh 2294	al-Mustaʿīn bi-llāh 15	20	parent of
al-Mutawakkil ʿalā Allāh 2294	al-Wāthiq bi-Llāh ʿUmar 2316	10	relative of
Sulaymān b. Muḥammad b. Dulghādir 2304	Bint Sulaymān b. Dulghādir 2779	20	parent of
Sulaymān b. Muḥammad b. Dulghādir 2304	ʾAṣlān b. Sulaymān b. Nāṣir al-Dīn b. Dulghādir 3347	20	parent of
Sulaymān b. Muḥammad b. Dulghādir 2304	Ḥamza b. Dulghādir 765	10	relative of
Muḥammad b. Tūqān 2307	al-ʿIjl b. Qurqmāsh 2308	10	relative of
Muḥammad b. Tūqān 2307	Ghanām 2429	10	relative of
al-ʿIjl b. Qurqmāsh 2308	Muḥammad b. Tūqān 2307	10	relative of
al-Wāthiq bi-Llāh ʿUmar 2316	zawja Najm al-Dīn ʿUmar b. Ḥajjī 4396	15	sibling of
al-Wāthiq bi-Llāh ʿUmar 2316	al-Muʿtaṣim bi-Llāh 2333	15	sibling of
al-Wāthiq bi-Llāh ʿUmar 2316	al-Mutawakkil ʿalā Allāh 2294	10	relative of
Khadīja bt al-Ẓāhir Jaqmaq 2320	Muḥammad 3238	20	parent of
Khadīja bt al-Ẓāhir Jaqmaq 2320	Kamāl al-Dīn b. al-Bārizī 99	10	relative of
al-Muʿtaṣim bi-Llāh 2333	al-Wāthiq bi-Llāh ʿUmar 2316	15	sibling of
Muḥammad b. ʾAḥmad b. ʿAjlān 2336	Kubaysh 4459	5	nephew of
Muḥammad b. ʾAḥmad b. ʿAjlān 2336	Muḥammad b. ʿAjlān 4468	5	nephew of
Muḥammad b. ʾAḥmad b. ʿAjlān 2336	Ḥasan b. Thaqaba 4470	5	nephew of
Muḥammad b. ʾAḥmad b. ʿAjlān 2336	ʾAḥmad b. Thaqaba 4469	5	nephew of
Zayn al-Dīn ʿInān b. Mughāmis 2338	Sanad b. Rumaytha 4408	5	nephew of
Zayn al-Dīn ʿInān b. Mughāmis 2338	ʿAjlān b. Rumaytha 4364	5	nephew of
Zayn al-Dīn ʿInān b. Mughāmis 2338	ʾAḥmad b. ʿAjlān 2800	10	relative of
Zayn al-Dīn ʿInān b. Mughāmis 2338	Muḥammad b. ʿAjlān 4468	10	relative of
Zayn al-Dīn ʿInān b. Mughāmis 2338	ʾAḥmad b. Thaqaba 4469	10	relative of
Ḥasan b. al-Ṣawāf al-Ḥanafī 2343	Muḥammad b. al-Shiḥna  711	10	relative of
Qarā Muḥammad 2345	Qarā Yūsuf b. Qarā Muḥammad 331	20	parent of
Qaṣrūh 2348	ʾumarāʾ muʾayyadīya 2347	10	relative of
Qaṣrūh 2348	Taghrī Birdī al-Muʾayyadī 930	10	relative of
ʾAḥmad b. Ḥajjī al-Saʿdī 2357	Najm al-Dīn ʿUmar b. Ḥajjī 2915	15	sibling of
ʾAḥmad b. Ḥajjī al-Saʿdī 2357	ʿAṭīya al-Saʿdī 4180	10	relative of
Jamāl al-Dīn b. Ẓuhayra 2363	Muḥibb al-Dīn b. Ẓuhayra 4720	20	parent of
Jamāl al-Dīn b. Ẓuhayra 2363	Shihāb al-Dīn b. Ẓuhayra 4702	5	nephew of
ʿAbd al-Raḥmān al-Zarandī 2364	ʾAbu l-Fatḥ 3147	15	sibling of
ʾabū Sulaymān al-Ḥusaynī 2368	Sulaymān al-Ḥusaynī 2366	20	parent of
ʿAbd al-Wahhāb al-Ṭarābulusī  2381	Ẓahīr al-Dīn Muḥammad 3916	20	parent of
ʾAnaṣ 2384	ʿĀʾisha bt. ʾAnas 2903	20	parent of
ʾAnaṣ 2384	al-Ẓāhir Barqūq 4	20	parent of
ʾAnaṣ 2384	ʿĀʾisha bt. ʾAnas 2903	20	parent of
ʾAnaṣ 2384	Sūdūn al-Ẓāhirī 1795	10	relative of
ʿAbd al-Wahhāb al-Fawwī 2399	ʿAbd al-Raḥmān b. ʿAbd al-Wahhāb b. Naṣr Allāh 595	20	parent of
ʿAbd al-Wahhāb al-Fawwī 2399	Sharaf al-Dīn ʾAbu l-Ṭayyib 929	20	parent of
ʿAbd al-Wahhāb al-Fawwī 2399	ʾAwlād ʿAbd al-Wahhāb al-Fawwī 4264	20	parent of
ʿAbd al-Wahhāb al-Fawwī 2399	Badr al-Dīn Ḥasan b. Naṣr Allāh al-Fawwī 88	15	sibling of
Fāṭima 2402	Yūsuf b. Taghrī Birdī 924	15	sibling of
al-Malik al-Manṣūr Ḥājjī 2409	Bint al-Malik al-Manṣūr Ḥājjī 2408	20	parent of
al-Malik al-Manṣūr Ḥājjī 2409	al-Manṣūr ʿAlī b. al-ʾAshraf Shaʿbān 4140	15	sibling of
al-Malik al-Manṣūr Ḥājjī 2409	Khawand Baraka Khātūn 993	10	relative of
al-Ẓāhir Majd al-Dīn ʿĪsā 2421	ibnat al-Ẓāhir Majd al-Dīn ʿīsā 4687	20	parent of
al-Ẓāhir Majd al-Dīn ʿĪsā 2421	ʿāʾila al-Ẓāhir Majd al-Dīn ʿĪsā 4410	10	relative of
al-Ẓāhir Majd al-Dīn ʿĪsā 2421	al-Malik al-Ṣāliḥ ʾAḥmad b. ʾIskandar 4686	10	relative of
Ḥāj Malak bt. Ibn Qarā 2426	ʿAʾisha Shaqrāʾ bint Taghrī Birdī 2751	20	parent of
ʾukht al-Ẓāhir Jaqmaq 2428	al-Ẓāhir Jaqmaq 2	15	sibling of
Ghanām 2429	Muḥammad b. Tūqān 2307	10	relative of
Shihāb al-Dīn ʾAḥmad ibn Baqar 2439	Baybars b. Baqr 90	20	parent of
ʿAlam al-Dīn Ṣāliḥ al-Bulqīnī 2440	Jalāl al-Dīn ʿAbd al-Raḥmān al-Bulqīnī 17	15	sibling of
ʿAlam al-Dīn Ṣāliḥ al-Bulqīnī 2440	Qāsim b. al-Bulqīnī 1038	1	uncle of
ʿAlam al-Dīn Ṣāliḥ al-Bulqīnī 2440	Tāj al-Dīn Muḥammad al-Bulqīnī 3163	1	uncle of
Tankiz 2445	Muḥammad ibn Muḥammad ibn Tankiz al-Nāṣirī  2163	10	relative of
ʿAlī al-ʾUrmawī 2450	Ḥasan b. ʿAlī al-ʾUrmawī 591	20	parent of
ʿAlāʾ al-Dīn b. Faḍl Allāh 2452	ʿAbd ʾAllāh al-ʿUmarī 2451	20	parent of
Jamāl al-Dīn Maḥmūd al-Qayṣarī 2485	ʾawlād Jamāl al-Dīn Maḥmūd al-Qayṣarī 4591	20	parent of
Badr al-Dīn b. Faḍl Allāh 2486	ʿIzz al-Dīn Ḥamza 4535	15	sibling of
Shaqrāʾ bt. al-Nāṣir Faraj 2487	al-Nāṣirī Muḥammad 1124	20	parent of
