source	target	weight
Badr al-Dīn al-ʿAynī 462	Tanbak al-Bajāsī  212	1
Badr al-Dīn al-ʿAynī 462	Tanbak al-Ẓāhirī 592	1
Badr al-Dīn al-ʿAynī 462	Timrāz 827	1
Badr al-Dīn al-ʿAynī 462	Timrāz al-Muʾayyadī al-Muṣāriʿ 737	1
Badr al-Dīn al-ʿAynī 462	Timrāz al-Qurmishī  27	1
Badr al-Dīn al-ʿAynī 462	Tumān Tamur ʾAruq* 300	1
Badr al-Dīn al-ʿAynī 462	Tāj al-Dīn Tāj al-Shawīkī 116	1
Badr al-Dīn al-ʿAynī 462	Yalbughā al-Nāṣirī al-Ẓāhirī 39	1
Badr al-Dīn al-ʿAynī 462	Yalkhujā min Māmish 652	1
Badr al-Dīn al-ʿAynī 462	Yashbak al-Jakamī 3222	1
Badr al-Dīn al-ʿAynī 462	Yashbak al-Yūsufī al-Muʾayyadī 249	1
Badr al-Dīn al-ʿAynī 462	Yashbak al-ʾAʿraj 1436	1
Badr al-Dīn al-ʿAynī 462	Yashbak ʾAkhū al-ʾAshraf Barsbāy 1452	1
Badr al-Dīn al-ʿAynī 462	Yūnus al-Ruknī 856	1
Badr al-Dīn al-ʿAynī 462	Yūsuf al -Ḥijāzī 1532	1
Badr al-Dīn al-ʿAynī 462	Yūsuf b. Yaghmūr 3329	1
Badr al-Dīn al-ʿAynī 462	Zayn al-Dīn Khushqadam al-Yashbakī 2601	1
Badr al-Dīn al-ʿAynī 462	al-Malaṭī 1228	1
Badr al-Dīn al-ʿAynī 462	al-Malik al-Ṣāliḥ Muḥammad 882	1
Badr al-Dīn al-ʿAynī 462	al-Muʾayyad Shaykh 12	1
Badr al-Dīn al-ʿAynī 462	al-Muʿtaḍid bi-llāh  258	1
Badr al-Dīn al-ʿAynī 462	al-Muẓaffar ʾAḥmad b. Shaykh 1364	1
Badr al-Dīn al-ʿAynī 462	al-Sayfī Qānī Bāy al-Yūsufī  1149	1
Badr al-Dīn al-ʿAynī 462	al-Turk 171	1
Badr al-Dīn al-ʿAynī 462	al-ʾAshraf Barsbāy 24	1
Badr al-Dīn al-ʿAynī 462	al-ʾAshraf ʾĪnāl al-ʾAjrūd 846	1
Badr al-Dīn al-ʿAynī 462	al-Ẓāhir Barqūq 4	1
Badr al-Dīn al-ʿAynī 462	al-Ẓāhir Jaqmaq 2	1
Badr al-Dīn al-ʿAynī 462	al-Ẓāhir Khushqadam al-Nāṣirī al-Muʾayyadī 861	1
Badr al-Dīn al-ʿAynī 462	al-Ẓāhir Yalbāy al-ʾĪnālī al-Muʾayyadī 1090	1
Badr al-Dīn al-ʿAynī 462	al-Ẓāhir Ṭaṭar 441	1
Badr al-Dīn al-ʿAynī 462	faqīh / fuqahāʾ 760	1
Badr al-Dīn al-ʿAynī 462	ʾAlṭunbugha al-Jāmūs 1017	1
Badr al-Dīn al-ʿAynī 462	ʾAlṭunbughā al-Jakamī 770	1
Badr al-Dīn al-ʿAynī 462	ʾAlṭunbughā al-Marqabī  97	1
Badr al-Dīn al-ʿAynī 462	ʾAlṭunbughā al-Qurmushī 221	1
Badr al-Dīn al-ʿAynī 462	ʾAlṭunbughā al-ʿUthmānī 117	1
Badr al-Dīn al-ʿAynī 462	ʾAlṭunbughā al-Ṣaghīr 1266	1
Badr al-Dīn al-ʿAynī 462	ʾAlṭunbughā al-Ẓāhirī al-Muʿallim 805	1
Badr al-Dīn al-ʿAynī 462	ʾAqbughā al-Jamālī al-ʾUstādār 2478	1
Badr al-Dīn al-ʿAynī 462	ʾAqbāy al-Khāzindār al-Muʾayyadī 301	1
Badr al-Dīn al-ʿAynī 462	ʾArghūn Shāh al-ʾAʿwar 390	1
Badr al-Dīn al-ʿAynī 462	ʾAsanbughā al-Ṭayyārī 73	1
