Source	Target	Weight
البزار	البغدادي	3
الموصل	دمياط	5
المعرة	سنجار	2
الاديب	البارع	8
حران	دمشق	14
حلب	كفرطاب	3
المعرة	ديار بكر	2
بلنسية	ميورقة	2
خوارزم	مكة	2
الجزيرة	بلنسية	2
الانصاري	قرطبة	19
الحنفي	القاهرة	3
الفقيه	النيسابوري	10
الغسال	المقريء	5
المولي	النيسابوري	2
بغداد	طبرستان	4
الانصاري	مكة	8
الغافقي	قرطبة	2
الاندلس	المهدية	3
الاندلس	التميمي	3
الاسكندرية	مرسية	2
الشام	خلاط	2
البصرة	صور	3
اصبهان	الحاجي	2
الشام	باجة	2
اصبهان	السلجوقي	3
القضاعي	باجة	2
القيسي	شاطبة	3
خوارزم	نيسابور	8
الشافعي	المصري	21
افريقية	الصنهاجي	2
الاهوازي	الضرير	2
الحميري	دمشق	4
المتكلم	مصر	2
سرخس	هراة	6
الكشاني	بخارى	2
العراق	سجستان	2
الداعي	المقريء	3
الشاعر	الشام	7
الاشبيلي	الشام	3
شلب	فاس	2
البصرة	دمشق	10
غزة	قيسارية	2
الوزان	بغداد	2
الجواد	دنيسر	2
الصوفي	المقريء	12
الجبال	طرابلس	2
الثقفي	الواعظ	2
الكرج	دمشق	4
فاس	قفصة	2
الاشبيلي	الصوفي	3
الاندلس	صقلية	4
الحساب	الشافعي	2
المقريء	النظامي	6
الفقيه	مروالروذ	2
الاديب	المعري	3
بغداد	بوشنج	6
حلب	شيراز	2
بعلبك	جعبر	2
امل	واسط	2
السفار	دمشق	4
اران	الشام	2
بغداد	ميهنة	2
البلنسي	مراكش	2
بغداد	ما وراء النهر	10
اسفرايين	امل	2
الدقاق	المقريء	2
صقلية	قرطبة	2
المعرة	حران	3
المفيد	النحوي	2
الاندلس	مصر	8
البصري	بغداد	13
السمعاني	الهروي	2
القيسي	فاس	3
دمشق	هراة	3
البغدادي	النحوي	6
الروم	حران	2
الاندلسي	الصوفي	3
حلب	فاس	3
القاهرة	المعرة	2
اليمن	رباط	2
الحنفي	الكوفة	3
اذربيجان	القاهرة	3
مرو	مصر	6
الاشبيلي	الكلاعي	2
المغربي	خراسان	2
الشام	الكردي	4
الروم	المرية	4
اليمن	قيسارية	2
خراسان	سمرقند	3
الحجاز	العراق	11
البغدادي	الشيرازي	8
الجزيرة	المدينة	4
القزويني	قزوين	2
سبتة	مراكش	6
القدس	دمياط	2
اشبيلية	النحوي	7
السبتي	سبتة	4
العراق	حمص	3
الشافعي	المرية	3
القدس	فاس	2
رباط	نيسابور	6
الهاشمي	فارس	2
افريقية	الكردي	2
الشام	فاس	4
الزنجاني	الشافعي	2
الشافعي	خراسان	5
العراق	القاهرة	5
الاندلسي	اللخمي	4
البغدادي	الحمامي	2
الصنهاجي	المري	2
اشبيلية	الرعيني	2
القدس	جعبر	2
العطار	دمشق	2
