Source	Target	Weight
العباسي	مراغة	2
الشام	جماعيل	2
الشامي	دمشق	5
القاهرة	القزويني	5
الشافعي	العبدي	2
الاشقر	الصالحي	2
القاضي	مالقة	7
بعلبك	ماردين	2
الابار	الخزرجي	2
المزة	حران	2
الابار	المرسي	4
الابار	القرطبي	5
الضرير	النحوي	9
البغدادي	الكردي	3
النصيبي	حلب	2
التميمي	السعدي	12
العباسي	حلب	3
المرية	مراكش	2
الازدي	دمشق	5
الاصولي	القاهرة	3
ما وراء النهر	نيسابور	3
الشاطبي	مصر	9
التميمي	الكتبي	2
خراسان	ما وراء النهر	6
حماة	خلاط	2
حلب	صور	2
الارموي	الفقيه	3
اللخمي	شاطبة	2
الاندلس	بغداد	6
الفقيه	المدينة	5
السلفي	المالكي	2
الالبيري	غرناطة	2
المرسي	المرية	2
ابرقوه	المصري	2
الاندلسي	مصر	18
الشام	غزنة	2
الشافعي	الصوفي	20
الصوفي	القدس	7
الطواشي	القاهرة	5
الاشقر	الروم	2
البارع	الموصل	7
الكتبي	دمشق	4
اذربيجان	بغداد	10
الامدي	مصر	2
الطبيب	القدس	3
الشيباني	الصالحي	2
الطاءي	دمشق	4
الشاعر	الهند	2
الكرك	خلاط	2
البغدادي	الهاشمي	27
الخطيب	اللخمي	4
اصبهان	الفقيه	14
الشافعي	المحتسب	2
اربل	بغداد	36
الحجاز	اليمن	9
الشافعي	المفتي	25
الشيرازي	بغداد	4
الشيباني	الصفار	4
البعلبكي	اليونيني	2
حران	دمياط	3
المرسي	سبتة	2
الحجاز	ما وراء النهر	2
العرضي	داريا	2
الانصاري	الاوسي	10
الاشبيلي	الشافعي	2
الحنفي	المقدسي	2
البغدادي	الصيدلاني	2
الشام	المفسر	2
الروم	بعلبك	4
الحجاب	دمشق	3
الروم	غزنة	2
الامدي	الواسطي	2
العقيلي	الكاتب	3
الصالحي	انطاكية	2
العالي	المصري	2
الصالحي	قوص	3
المرادي	مرسية	2
الفقيه	غزة	4
الازدي	مراكش	2
الشيعي	دمشق	2
حلب	خوارزم	8
الصالحي	القيمري	2
الحمصي	القاضي	2
دمشق	فاس	7
الحموي	بعلبك	3
المحتسب	مصر	2
الاسكندراني	الكندي	3
الدمشقي	العسقلاني	4
الطوسي	المقريء	4
الاديب	المتكلم	2
القاضي	الموصل	30
الاصبهاني	الدمشقي	4
القرشي	حمص	3
الفارسي	الهند	2
التاجر	المصري	3
الشافعي	بعلبك	16
الزبيدي	المدينة	2
اشبيلية	فاس	5
الامير	الصلي	2
الفقيه	المراغي	5
القاهرة	القلانسي	2
الشام	الهاشمي	2
الاديب	المالكي	4
المالكي	المقدسي	6
البغدادي	الكندي	3
اربل	همذان	3
الكناني	بغداد	4
الاديب	مكة	3
القاهرة	مكة	31
الازدي	المقريء	4
مصر	نابلس	12
اربل	السهروردي	2
الفقيه	مكة	21
القاهرة	الكناني	5
الانصاري	المرسي	7
البغدادي	الوراق	5
الشافعي	مكة	23
المقدسي	الموصل	9
بعلبك	دمشق	56
الاشقر	المولي	3
الخريمي	بغداد	2
اصبهان	طرابلس	2
الرافضي	المولي	2
الروم	الرومي	6
المنصورة	نابلس	2
بغداد	يزد	2
البارع	الشافعي	10
المالكي	غرناطة	5
الاربلي	الشافعي	15
الروم	تفليس	2
الحمام	الصالحي	2
المولي	حماة	9
الامير	الجزيرة	5
الطواشي	دمشق	3
قيسارية	قيسارية	14
المرية	مصر	3
الشرقي	بغداد	2
الشاعر	الغلام	2
البلنسي	جيان	2
المدينة	خوارزم	3
الاديب	قوص	5
بخارى	سرخس	2
الاديب	الاندلسي	3
الشام	داريا	2
الروم	القيسي	3
البلنسي	الكاتب	2
اصبهان	حران	12
الاوسي	الشافعي	3
الشيباني	دارا	2
الدمشقي	المقدسي	18
السخاوي	المقريء	9
الاسعردي	الاسكندرية	2
الخطيب	الموصل	8
اربل	الشافعي	19
الدارقزي	الوراق	2
بغداد	حلب	84
الجبال	دارا	2
الشام	امل	4
التاجر	الحنبلي	13
القاضي	نابلس	4
الخزرجي	النحوي	2
خراسان	فارس	3
الصوفي	شيراز	4
البغدادي	الشاعر	13
الصلاحي	القاضي	3
صفد	مصر	8
الجندي	مصر	3
بغداد	تفليس	2
الكوفة	الواسطي	4
البهنسي	المصري	2
الدباس	المستنصري	2
المدينة	المقريء	3
الهروي	رباط	2
اصبهان	المقدسي	10
البغدادي	المولي	13
الجيزة	الخطيب	2
الدمشقي	خراسان	7
الجهني	المهدوي	2
الحنبلي	الشاهد	3
بغداد	طرابلس	2
فاس	مكة	4
الصالحي	المحدث	5
السبتي	مراكش	6
حلب	همذان	9
الدمشقي	السعدي	6
الحاكم	مصر	3
المحدث	الواعظ	2
قاسيون	قم	2
الطواشي	المدينة	4
القاهرة	المنذري	3
الشبلية	القاضي	2
البارع	الحنفي	3
البخاري	دمشق	3
الدمشقي	المفيد	8
العادلي	حران	2
الدارمي	القاضي	2
الانصاري	النابلسي	2
الصوفي	النصيبي	2
الاندلسي	الوراق	2
الاديب	الشيعي	4
الروم	دمشق	27
الري	مصر	6
الفرضي	النحوي	3
الشيرازي	الواعظ	2
اشبيلية	الاسكندرية	7
الخاتون	الشام	2
الموصلي	دمشق	25
القاضي	جماعيل	2
القاهرة	الهمذاني	4
اشبيلية	تلمسان	3
البهراني	الدمشقي	2
بغداد	حوران	2
الجزري	الصعيد	3
التميمي	فارس	3
البغدادي	بغداد	132
حران	فارس	4
العطار	المحدث	2
حمص	مكة	3
