Source	Target	Weight
الاسدي	الاصبهاني	5
البابصري	الحنبلي	3
الاصبهاني	مكة	34
الحميدي	القاهرة	3
الحارثي	المغرب	2
السعدي	مكة	7
الصدوق	النيسابوري	8
الخزاعي	الكعبي	5
البخاري	القدس	2
الشام	الكناني	3
صور	نابلس	2
البصري	القشيري	8
الصيدلاني	المقريء	5
المدني	بغداد	35
الكوفة	المقدسي	2
الانباري	اللخمي	2
اربل	الخاتون	2
المولي	النيسابوري	18
الاصولي	الحنفي	2
الموصل	نصيبين	13
الاندلس	التميمي	12
الربعي	المقريء	8
الحيري	الصوفي	4
الشام	خلاط	4
الشامي	الصدوق	3
الشاعر	مكة	10
البصرة	صور	8
السراج	الكاتب	2
خراسان	عكا	3
الاسكندراني	القيسي	2
المزني	واسط	2
القيسي	شاطبة	4
الخراج	فارس	2
خوارزم	نيسابور	21
الصوفي	الطابران	3
ارمينية	القرشي	2
البزاز	القرشي	6
حلوان	غزنة	2
الجمال	امل	2
الاندلسي	شقورة	3
الحميري	دمشق	11
سرخس	هراة	9
الداعي	المقريء	3
النخعي	دمشق	5
الطالقان	فارس	2
الجواد	دنيسر	2
الجهني	مصر	5
آمد	حماة	3
المراغي	دمشق	5
المولي	رية	2
الانصاري	لبلة	2
امل	حمص	2
الخطيب	حماة	3
الكرج	دمشق	10
الامدي	المقريء	2
الهمذاني	حلب	5
الحساب	الشافعي	5
النظامي	النيسابوري	2
المءيد	فارس	2
الحلي	الشافعي	2
البصرة	الري	35
الاسكندرية	الكندي	3
العباسي	سامراء	8
البصري	الري	10
الدمشقي	طرسوس	2
البهراني	لبلة	2
البصري	الراسبي	10
الامير	الحكمي	3
القيسي	المري	3
المصيصة	بغداد	7
البغدادي	بسطام	3
القيسي	فاس	7
الموصل	صفد	2
الرحال	الهمداني	3
اصبهان	المضري	3
اللخمي	المقدسي	3
البغدادي	النحوي	36
الحصار	القدس	2
الاندلسي	الصوفي	3
التمار	الرقي	2
البياني	حماة	2
الحنفي	الكوفة	8
البزاز	الهروي	6
الخراج	العراق	3
التركي	الجندي	2
افريقية	الطائف	2
الري	المغربي	2
الهروي	الواسطي	2
الغساني	دمشق	15
الشيباني	الضرير	3
الري	جرجان	16
الحلبي	الهاشمي	4
رباط	نيسابور	8
الهاشمي	فارس	8
البسري	بغداد	2
العامري	مصر	7
الباقلاني	البغدادي	6
اشبيلية	المرسي	2
القيروان	المحدث	8
آمد	القاضي	2
السلمي	المصري	6
المهدية	ميورقة	2
الصنهاجي	المري	2
الرملة	حلب	8
الحمصي	بست	2
اسفرايين	المدينة	2
الاهوازي	العراق	3
اربل	العلوي	2
الاسكندرية	اللغوي	2
القاهرة	بلنسية	6
الربعي	المقدسي	2
الشيباني	سمرقند	2
الحلة	حلب	4
اصبهان	البرجي	2
البصري	العبدي	56
الاهواز	الجزيرة	4
الرومي	الشام	4
المالكي	همذان	5
الري	خوارزم	9
الفقيه	لورقة	2
الصدوق	جرجان	3
الجزري	الصوفي	3
القرطبي	القيروان	18
الامير	الشيعي	12
المصري	المهلبي	2
اصبهان	الدينوري	2
القيروان	بست	2
الزيدي	الفقيه	3
الاموي	المكي	8
القاهرة	الكبري	2
المغربي	دمشق	23
الري	بلخ	14
الصوفي	حلب	20
افريقية	القرشي	3
الفقيه	القدس	21
اغمات	قرطبة	5
البصري	الخياط	6
الاسكندري	المقدسي	2
الشاطبي	مكة	4
الشافعي	الفراء	2
اربل	البغدادي	13
الحاج	فارس	2
الانبار	بلنسية	2
العبدي	الفقيه	7
الاربلي	الصوفي	7
الخطيب	الغزالي	2
الخياط	الفقيه	3
الاطروش	المقريء	2
القصري	النظامي	2
المالكي	مراكش	4
المولي	الهمذاني	6
