URI	REG_MESO	TR	SEARCH	EN	TYPE	LAT	LON	AR	AR_Alt	AR_Sort
SUKAYRABBAS_405E352N_S	Aqur_RE	Sukayr=al-ʿAbbās	Sukayr=al-Abbas	NA	towns	40.58767	35.24207	سكير=العباس	سكير=العباس	سكير=العباس
SALA_067W340N_S	Maghrib_RE	Salā	Sala	NA	towns	-6.79416	34.04753	سلا	سلا	سلا
SALAMAS_448E382N_S	Rihab_RE	Salamās	Salamas	NA	towns	44.82832	38.22277	سلماس	سلماس	سلماس
SALAMIYYA_370E350N_S	Sham_RE	Salamiyyaŧ	Salamiyya	NA	towns	37.07106	35.00401	سلمية	سلمية	سلمية
SALUMAK_599E346N_S	Khurasan_RE	Salūmak	Salumak	NA	towns	59.98232	34.64655	سلومك	سلومك	سلومك
SAMAD_579E227N_S	JaziratArab_RE	Samad	Samad	NA	towns	57.96619	22.71138	سمد	سمد	سمد
SUMUSTA_308E289N_S	Misr_RE	Sumusṭā	Sumusta	NA	towns	30.88762	28.96006	سمسطا	سمسطا	سمسطا
SIMNAN_534E354N_S	Daylam_RE	Simnān	Simnan	NA	towns	53.40856	35.49513	سمنان	سمنان	سمنان
SIMINJAN_680E362N_S	Khurasan_RE	Siminǧān	Siminjan	NA	towns	68.09011	36.22585	سمنجان	سمنجان	سمنجان
SAMANDAR_475E429N_S	Khazar_RE	Samandar	Samandar	NA	towns	47.51198	42.90467	سمندر	سمندر	سمندر
SAMMURA_057W414N_S	Andalus_RE	Sammūraŧ	Sammura	NA	towns	-5.76776	41.44051	سمورة	سمورة	سمورة
SUMAYSAT_385E375N_S	Aqur_RE	Sumaysāṭ	Sumaysat	NA	towns	38.54365	37.54334	سميساط	سميساط	سميساط
SINN_434E352N_S	Iraq_RE	al-Sinn	al-Sinn	NA	towns	43.46591	35.26076	السن	السن	سن
SANBADHA_304E311N_S	Misr_RE	Sanbāḏaŧ	Sanbadha	NA	towns	30.47267	31.19071	سنباذة	سنباذة	سنباذة
SANBIL_501E307N_S	Khuzistan_RE	Sanbīl	Sanbil|Suq=Sanbil	NA	towns	50.14499	30.7244	سنبيل	سنبيل|سوق=سنبيل	سنبيل
SINJ_616E374N_S	Khurasan_RE	Sinǧ	Sinj|Sink	NA	towns	61.68119	37.4648	سنج	سنج|سنك	سنج
SINJAR_418E363N_S	Aqur_RE	Sinǧār	Sinjar	NA	towns	41.89101	36.32446	سنجار	سنجار	سنجار
SANDAN_730E199N_S	Sind_RE	Sandān	Sandan	NA	towns	73.01422	19.90633	سندان	سندان	سندان
SANKAN_594E350N_S	Khurasan_RE	Sankān	Sankan|Sanjan	NA	towns	59.41155	35.05003	سنكان	سنكان|سنجان	سنكان
SANKARDAH_675E385N_S	Mawarannahr_RE	Sankardah	Sankardah	NA	towns	67.57933	38.50044	سنكرده	سنكرده	سنكرده
SANHUR_307E311N_S	Misr_RE	Sanhūr	Sanhur	NA	towns	30.70832	31.16283	سنهور	سنهور	سنهور
