MATCH	URIS	TOPONYMS
وبتنانير	TUNANIR_408E363N_S	تنانير
وبتشمس	TUSHUMMUS_059W350N_S,TUSHUMMUS_059W350N_W	تشمس : تشمس
بطرلية	BATARLIYYA_141E378N_S	بطرلية
وبرشتان	RISHTAN_715E400N_S	رشتان
لذاتالساحل	DHATSAHIL_310E302N_S	ذات الساحل
لواديسبو	WADISABU_059W344N_W	وادي سبو
الافيعية	UFAYIYYA_407E230N_S	الأفيعية
وبمغون	MAGHUN_577E279N_S	مغون
وينكرد	WINKARD_684E405N_S	وينكرد
الصلا	SALA_354E278N_S	الصلا
بديرالنصاري	DAYRNASARA_330E311N_S	دير النصارى
لبغروند	BAGHRAWAND_431E400N_R	بغروند
نوزكث	NUZKATH_604E419N_S,NUSHKATH_742E427N_S	نوزكث : نوشكث
لتشمس	TUSHUMMUS_059W350N_S,TUSHUMMUS_059W350N_W	تشمس : تشمس
بسنكان	SANKAN_594E350N_S	سنكان
بفامر	FAMIR_727E375N_R	فامر
بتلنعمان	NUMANIYYA_454E325N_S	النعمانية
وبنهيا	NIHYA_373E344N_S	نهيا
وبزياداواذ	ZIYADABADH_532E298N_S	زياداباذ
بسباء	SABA_453E154N_R	سباء
لتنا	TANA_315E310N_S	تنا
وبباراب	BARAB_534E278N_S,FARAB_682E427N_R	باراب : فاراب
