id	region	lon	lat	topType	topTypeAlt	translitTitle	arTitle	translitTitleOther	arTitleOther	searchNames	arBW
KHUWAKAND_710E405N_S_TRAN	Transoxiana	71.05784	40.55623	towns	cite	Ḫuwākand	خواكند	Ḫuwākand	خواكند	Khuwakand	Khuwakand
NASA_711E404N_R_TRAN	Transoxiana	71.10821	40.41184	regions	region	Nasāʾ	نساء	Nasāʾ, Nasiyā	نساء، نسيا	Nasa, Nasiya	Nasa, Nasiya
BAB_711E408N_S_TRAN	Transoxiana	71.16439	40.88072	towns	cite	Bāb	باب	Bāb	باب	Bab	Bab
SUKH_712E399N_S_TRAN	Transoxiana	71.21396	39.97506	towns	cite	Sūḫ	سوخ	Sūḫ, Sūǧ	سوخ، سوج	Sukh, Suj	Sukh, Suj
AKHSHIKATH_713E409N_S_TRAN	Transoxiana	71.36392	40.91733	capitals	capitale	Aḫšīkaṯ	أخشيكث	Aḫšīkaṯ	أخشيكث	Akhshikath	Akhshikath
TARAZ_714E428N_S_TRAN	Transoxiana	71.44044	42.83695	towns	cite	Ṭarāz	طراز	Ṭarāz	طراز	Taraz	Taraz
RISHTAN_715E400N_S_TRAN	Transoxiana	71.55377	40.02761	towns	cite	Rištān	رشتان	Rištān	رشتان	Rishtan	Rishtan
KASAN_716E412N_S_TRAN	Transoxiana	71.64288	41.24406	towns	canton/cite	Kāsān	كاسان	Kāsān	كاسان	Kasan	Kasan
SHALJI_716E425N_S_TRAN	Transoxiana	71.66129	42.59356	towns	cite	Šalǧī	شلجي	Šalǧī	شلجي	Shalji	Shalji
NUSHAJANSUFLA_717E428N_S_TRAN	Transoxiana	71.70197	42.89978	villages	localite	Nūšaǧān al-Suflá	نوشجان ﭐلسفلى	Nūšaǧān al-Suflá	نوشجان ﭐلسفلى	Nushajan al-Sufla	Nushajan al-Sufla
AWAL_717E404N_S_TRAN	Transoxiana	71.74749	40.43580	towns	cite	Awāl	أوال	Awāl	أوال	Awal	Awal
MARGHINAN_717E405N_S_TRAN	Transoxiana	71.76105	40.50359	towns	cite	Marġīnan	مرغينن	Marġīnan	مرغينن	Marghinan	Marghinan
KARWAN_718E414N_S_TRAN	Transoxiana	71.83079	41.48396	capitals	cheflieu	Karwān	كروان	Karwān	كروان	Karwan	Karwan
