source,target,weight,distance
ROUTPOINT0122_359E348N_O_NODA,ANTARTUS_359E348N_S_SHAM,2.894356006,3455
DAWSAR_384E359N_S_SHAM,BALIS_380E360N_S_SHAM,0.261219372,38282
RAQQA_390E359N_S_AQUR,DAWSAR_384E359N_S_SHAM,0.198286802,50432
TINAT_361E368N_S_SHAM,MISSISA_356E369N_S_SHAM,0.212472113,47065
ROUTPOINT0902_353E303N_O_NODA,WADIMUSA_354E303N_S_SHAM,0.868507903,11514
ROUTPOINT0101_354E308N_O_NODA,ROUTPOINT0902_353E303N_O_NODA,0.197406084,50657
DALIYA_407E347N_S_AQUR,QAMARTI_404E348N_S_AQUR,0.346740638,28840
DALIYA_407E347N_S_AQUR,FASH_405E349N_S_AQUR,0.334068284,29934
KHALIJBANUJUMAY_408E345N_S_AQUR,DALIYA_407E347N_S_AQUR,0.462149921,21638
WADISIBA_409E344N_S_AQUR,KHALIJBANUJUMAY_408E345N_S_AQUR,0.645244548,15498
DAZIQI_411E343N_S_AQUR,WADISIBA_409E344N_S_AQUR,0.420450723,23784
NIHIYYA_415E343N_S_AQUR,DAZIQI_411E343N_S_AQUR,0.265837254,37617
ROUTPOINT0202_416E343N_O_NODA,NIHIYYA_415E343N_S_AQUR,1.822489521,5487
ROUTPOINT0201_421E342N_O_NODA,ROUTPOINT0202_416E343N_O_NODA,0.199944016,50014
ANA_419E344N_S_AQUR,ROUTPOINT0202_416E343N_O_NODA,0.30979894,32279
ROUTPOINT0201_421E342N_O_NODA,ANA_419E344N_S_AQUR,0.404367165,24730
FUHAYMA_421E342N_S_AQUR,ROUTPOINT0201_421E342N_O_NODA,1.785714286,5600
HADITHA_423E341N_S_AQUR,FUHAYMA_421E342N_S_AQUR,0.38816862,25762
ALUS_424E339N_S_AQUR,HADITHA_423E341N_S_AQUR,0.722282412,13845
RAQQA_390E359N_S_AQUR,MUBARAK_398E355N_S_AQUR,0.118227067,84583
RAQQA_390E359N_S_AQUR,KHANUQA_398E357N_S_AQUR,0.136707269,73149
RAQQA_390E359N_S_AQUR,RAFIQA_390E359N_S_AQUR,4.024144869,2485
RUSAFA_387E356N_S_SHAM,RAQQA_390E359N_S_AQUR,0.218474176,45772
